semana_inicio,venta_neta_total_eur,Yt_indexed,Yt_scaled,level_year,inv_paid_search,inv_social_paid,inv_video_online,inv_display,inv_email_crm,inv_radio_local,inv_exterior,inv_prensa,inv_digital_perf,inv_digital_awareness,inv_offline,inv_crm,logadstock_digital_perf,logadstock_digital_awareness,logadstock_offline,logadstock_crm,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,incidencia_ecommerce_flag,festivo_local_intensidad,temperatura_media_c,lluvia_indice,turismo_indice,time_trend
2020-01-06,1744807.79,0.9850222962617856,1.74480779,1771338.3713461538,32256.04,26864.09,27065.87,12249.83,7430.35,17578.2,21872.71,12566.69,59120.130000000005,39315.7,52017.600000000006,7430.35,-4.128529243310401,-4.054261792710756,-4.071037390110667,-4.133700412279886,0.3384434581237906,1.373119086479104,0.6572178126533424,1.2522239203637486,0,1,0,0,0,0,0,0.0,-1.20088106496526,1.3880135322247769,-0.4192415729971863,-1.723743561562655
2020-01-13,1743767.43,0.9844349663552984,1.74376743,1771338.3713461538,38551.67,24575.52,21375.62,10468.85,9060.7,14986.02,17893.72,12657.93,63127.19,31844.47,45537.670000000006,9060.7,-4.128529243310401,-4.054261792710756,-4.071037390110667,-4.133700412279886,0.5014870405393332,1.3223126514448469,0.9377970568010312,1.0585540516456033,0,1,0,0,0,0,0,0.0,-1.26576780139194,1.273924912964084,-0.5214325495559321,-1.7070890343977985
2020-01-20,1748775.45,0.9872622183817952,1.74877545,1771338.3713461538,34055.66,20363.2,21655.77,12252.29,5438.46,12869.67,17988.05,13077.65,54418.86,33908.06,43935.37,5438.46,-3.311986603444175,-3.1406773790079856,-3.2041112830556497,-3.2997781637325807,0.6572178126533426,1.2522239203637486,1.163874944761049,0.8033648691332378,1,1,0,0,0,0,1,0.0,-1.1808251646151946,1.3593237971815466,-0.625558679348857,-1.690434507232942
2020-01-27,1771293.4,0.9999746116569926,1.7712934,1771338.3713461538,28396.86,23534.38,23193.28,10693.32,7813.4,13831.8,16907.84,12349.28,51931.240000000005,33886.6,43088.92,7813.4,-2.6809195621023343,-2.6439890949906055,-2.680769476476223,-2.551197631847861,0.8033648691332378,1.1638749447610492,1.3223126514448467,0.5014870405393331,1,1,0,0,0,0,0,0.0,-1.1159384281885139,1.523954613224003,-0.6601681506524382,-1.6737799800680855
2020-02-03,1771972.59,1.0003580448908609,1.77197259,1771338.3713461538,30090.34,23489.9,23911.76,13393.52,6604.51,13842.48,15698.03,10067.28,53580.240000000005,37305.28,39607.79,6604.51,-2.313693135655033,-2.235370510428819,-2.3134394817387,-2.328300151406131,0.9377970568010313,1.0585540516456033,1.403902353237593,0.1704646079805071,1,1,0,0,0,0,0,0.0,-0.87833499698245,1.386672890400327,-0.5705556701158537,-1.6571254529032289
2020-02-10,1768890.32,0.9986179651580104,1.7688903200000001,1771338.3713461538,22108.06,21297.69,16913.66,10903.46,6215.91,14647.41,11828.65,13532.72,43405.75,27817.12,40008.78,6215.91,-2.0610273345723287,-1.9275050175772965,-2.0454662934285865,-1.9514724991057693,1.0585540516456033,0.9377970568010315,1.403902353237593,-0.17046460798050667,0,1,0,0,0,0,0,0.0,-0.6888657266165424,1.256362505063789,-0.5527671461555186,-1.6404709257383723
2020-02-17,1749785.11,0.9878322167606104,1.7497851100000001,1771338.3713461538,31612.48,22659.03,21104.96,13646.43,5806.5199999999995,14060.93,17085.61,12387.06,54271.509999999995,34751.39,43533.6,5806.5199999999995,-1.8491165990333802,-1.6340586296218906,-1.8826936778332333,-1.7640251113103524,1.1638749447610492,0.8033648691332378,1.3223126514448467,-0.5014870405393328,0,0,0,0,0,0,0,0.0,-0.6383720480881429,1.3136079109678034,-0.5358717698417275,-1.6238163985735157
2020-02-24,1780119.84,1.0049575331263063,1.78011984,1771338.3713461538,24761.45,24940.37,21741.42,8370.62,5380.82,12175.19,16349.19,10730.72,49701.82,30112.04,39255.1,5380.82,-1.7869040518961854,-1.5651488895638395,-1.7505771003065491,-1.6492491580917412,1.2522239203637484,0.6572178126533428,1.1638749447610492,-0.8033648691332377,1,0,0,0,0,0,0,0.0,-0.43309400921100794,1.1387882170595272,-0.4749144429650972,-1.607161871408659
2020-03-02,1767092.71,0.9976031336446874,1.76709271,1771338.3713461538,24753.66,20506.99,15623.48,10189.39,5740.99,16371.96,12739.91,12853.39,45260.65,25812.87,41965.259999999995,5740.99,-1.629265709223485,-1.397128503502099,-1.6044737570093797,-1.5915071967202354,1.3223126514448469,0.5014870405393331,0.9377970568010312,-1.0585540516456036,1,0,0,0,0,0,0,0.0,-0.28302868423875666,1.1867831943748357,-0.6175203505299608,-1.5905073442438027
2020-03-09,1760710.07,0.9939998469416792,1.76071007,1771338.3713461538,33435.99,23446.85,22296.03,14336.38,7771.58,12512.33,16136.65,14386.39,56882.84,36632.409999999996,43035.369999999995,7771.58,-1.5503955695974372,-1.3400169652689027,-1.5406032107214165,-1.5795023685165872,1.373119086479104,0.3384434581237911,0.6572178126533432,-1.252223920363748,0,0,0,0,0,0,1,0.0285714285714285,-0.06831257460864945,0.9473445645280717,-0.5155526608828502,-1.573852817078946
