semana_inicio,venta_neta_total_eur,Yt_indexed,Yt_scaled,level_year,inv_paid_search,inv_social_paid,inv_video_online,inv_display,inv_email_crm,inv_radio_local,inv_exterior,inv_prensa,inv_digital_perf,inv_digital_awareness,inv_offline,inv_crm,logadstock_digital_perf,logadstock_digital_awareness,logadstock_offline,logadstock_crm,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,incidencia_ecommerce_flag,festivo_local_intensidad,temperatura_media_c,lluvia_indice,turismo_indice,time_trend,logadstock_digital_perf__C1,logadstock_digital_awareness__C1,logadstock_offline__C1,logadstock_crm__C1,logadstock_digital_perf__C2,logadstock_digital_awareness__C2,logadstock_offline__C2,logadstock_crm__C2,logadstock_digital_perf__C3,logadstock_digital_awareness__C3,logadstock_offline__C3,logadstock_crm__C3,logadstock_digital_perf__C4,logadstock_digital_awareness__C4,logadstock_offline__C4,logadstock_crm__C4,logadstock_digital_perf__C6,logadstock_digital_awareness__C6,logadstock_offline__C6,logadstock_crm__C6,logadstock_digital_perf__C7,logadstock_digital_awareness__C7,logadstock_offline__C7,logadstock_crm__C7,logadstock_digital_perf__C8,logadstock_digital_awareness__C8,logadstock_offline__C8,logadstock_crm__C8,logadstock_paid_search__C9,logadstock_social_paid__C9,logadstock_video_online__C9,logadstock_display__C9,logadstock_email_crm__C9,logadstock_radio_local__C9,logadstock_exterior__C9,logadstock_prensa__C9,logadstock_digital_perf__C10,logadstock_digital_awareness__C10,logadstock_offline__C10,logadstock_crm__C10
2020-01-06,1744807.79,0.9850222962617856,1.74480779,1771338.3713461538,32256.04,26864.09,27065.87,12249.83,7430.35,17578.2,21872.71,12566.69,59120.130000000005,39315.7,52017.600000000006,7430.35,-4.128529243310401,-4.054261792710756,-4.071037390110667,-4.133700412279886,0.3384434581237906,1.373119086479104,0.6572178126533424,1.2522239203637486,0,1,0,0,0,0,0,0.0,-1.20088106496526,1.3880135322247769,-0.4192415729971863,-1.723743561562655,-3.499720190184758,-3.471995494140093,-3.4582126438631393,-3.5526594436396577,-3.459200780959164,-3.4208739186007526,-3.409273818644041,-3.5085359895659565,-5.255672320275505,-5.367875639957336,-5.245412811229162,-5.32860577380364,-4.995860495631947,-5.031571160244331,-4.985945008537279,-5.010477283235281,-3.499720190184758,-3.471995494140093,-2.7707071120602826,-3.6277319949418505,-3.7246559170620666,-3.6789830990620946,-3.5412230575664063,-1.488436987368739,-1.8300384095856956,-4.109612788483325,-3.9136034173996856,-3.83518479925124,-3.462881308372507,-3.5431980950837842,-3.4719182261709025,-3.4615395362512005,-3.5526594436396577,-3.4000721481565437,-3.4829757288690137,-3.480183320719743,-5.64411371642112,-6.0772909939565425,-4.5280617086259145,-4.021225438678498
2020-01-13,1743767.43,0.9844349663552984,1.74376743,1771338.3713461538,38551.67,24575.52,21375.62,10468.85,9060.7,14986.02,17893.72,12657.93,63127.19,31844.47,45537.670000000006,9060.7,-4.128529243310401,-4.054261792710756,-4.071037390110667,-4.133700412279886,0.5014870405393332,1.3223126514448469,0.9377970568010312,1.0585540516456033,0,1,0,0,0,0,0,0.0,-1.26576780139194,1.273924912964084,-0.5214325495559321,-1.7070890343977985,-3.499720190184758,-3.471995494140093,-3.4582126438631393,-3.5526594436396577,-3.459200780959164,-3.4208739186007526,-3.409273818644041,-3.5085359895659565,-5.255672320275505,-5.367875639957336,-5.245412811229162,-5.32860577380364,-4.995860495631947,-5.031571160244331,-4.985945008537279,-5.010477283235281,-3.499720190184758,-3.471995494140093,-2.0668273926930913,-2.8181962753222667,-3.7246559170620666,-3.6789830990620946,-3.217547530242215,-0.5886121568575604,-1.0913263010516534,-4.109612788483325,-3.9136034173996856,-1.2578511351955515,-3.462881308372507,-3.5431980950837842,-3.4719182261709025,-3.4615395362512005,-3.5526594436396577,-3.4000721481565437,-3.4829757288690137,-3.480183320719743,-4.856120646304899,-4.59102128923041,-4.5280617086259145,-4.021225438678498
2020-01-20,1748775.45,0.9872622183817952,1.74877545,1771338.3713461538,34055.66,20363.2,21655.77,12252.29,5438.46,12869.67,17988.05,13077.65,54418.86,33908.06,43935.37,5438.46,-3.311986603444175,-3.1406773790079856,-3.2041112830556497,-3.2997781637325807,0.6572178126533426,1.2522239203637486,1.163874944761049,0.8033648691332378,1,1,0,0,0,0,1,0.0,-1.1808251646151946,1.3593237971815466,-0.625558679348857,-1.690434507232942,-3.499720190184758,-3.471995494140093,-3.4582126438631393,-3.5526594436396577,-3.459200780959164,-3.4208739186007526,-3.409273818644041,-3.5085359895659565,-5.255672320275505,-5.367875639957336,-5.245412811229162,-5.32860577380364,-4.995860495631947,-5.031571160244331,-4.985945008537279,-5.010477283235281,-3.499720190184758,-3.471995494140093,-1.7189401414422878,-2.5771324788941796,-3.7246559170620666,-3.6789830990620946,-2.9520509877006003,-1.286026657119803,-1.1618011443040441,-2.388661617999457,-3.9136034173996856,-0.4583498747438842,-3.462881308372507,-3.5431980950837842,-3.4719182261709025,-3.4615395362512005,-3.5526594436396577,-3.4000721481565437,-3.4829757288690137,-3.480183320719743,-4.131605534646376,-3.324109930679101,-4.5280617086259145,-4.021225438678498
2020-01-27,1771293.4,0.9999746116569926,1.7712934,1771338.3713461538,28396.86,23534.38,23193.28,10693.32,7813.4,13831.8,16907.84,12349.28,51931.240000000005,33886.6,43088.92,7813.4,-2.6809195621023343,-2.6439890949906055,-2.680769476476223,-2.551197631847861,0.8033648691332378,1.1638749447610492,1.3223126514448467,0.5014870405393331,1,1,0,0,0,0,0,0.0,-1.1159384281885139,1.523954613224003,-0.6601681506524382,-1.6737799800680855,-3.499720190184758,-3.471995494140093,-3.4582126438631393,-3.5526594436396577,-3.459200780959164,-3.4208739186007526,-3.409273818644041,-3.5085359895659565,-5.255672320275505,-5.367875639957336,-5.245412811229162,-5.32860577380364,-4.995860495631947,-5.031571160244331,-4.985945008537279,-5.010477283235281,-3.499720190184758,-3.471995494140093,-1.539767538826347,-2.169577274368699,-3.7246559170620666,-3.6789830990620946,-2.7285937092680825,-0.8482018620754276,-1.2645585652064082,-1.8063565958160719,-3.0745600241732216,-1.2254882235909255,-3.462881308372507,-3.5431980950837842,-3.4719182261709025,-3.4615395362512005,-3.5526594436396577,-3.4000721481565437,-3.4829757288690137,-3.480183320719743,-3.508369380313763,-2.3911033016459373,-4.5280617086259145,-4.021225438678498
2020-02-03,1771972.59,1.0003580448908609,1.77197259,1771338.3713461538,30090.34,23489.9,23911.76,13393.52,6604.51,13842.48,15698.03,10067.28,53580.240000000005,37305.28,39607.79,6604.51,-2.313693135655033,-2.235370510428819,-2.3134394817387,-2.328300151406131,0.9377970568010313,1.0585540516456033,1.403902353237593,0.1704646079805071,1,1,0,0,0,0,0,0.0,-0.87833499698245,1.386672890400327,-0.5705556701158537,-1.6571254529032289,-3.1287873421704564,-3.0495773970443785,-3.061985626270118,-3.166779626417516,-3.101668103254032,-3.016881214188478,-3.0301412474046607,-3.1375130036915726,-4.532552714008979,-4.525142583949881,-4.466272759563672,-4.577341461288076,-4.2080578760981275,-4.129424313376265,-4.13006369730119,-4.212435163593796,-3.1287873421704564,-3.0495773970443785,-1.520464767406825,-1.9668378230062196,-3.1517545751904286,-3.031285534811621,-2.558580446990963,-1.04827452005816,-1.241331901462806,-1.4158665432452622,-2.568083953700825,-0.7584720112150763,-3.1040311009061856,-3.1566829972538875,-3.024079141565778,-3.087185911788124,-3.166779626417516,-3.0124626854637055,-3.0380927598766134,-3.139367579829408,-2.926276870999258,-1.5393334708750623,-4.228619986314316,-3.92920763205392
2020-02-10,1768890.32,0.9986179651580104,1.7688903200000001,1771338.3713461538,22108.06,21297.69,16913.66,10903.46,6215.91,14647.41,11828.65,13532.72,43405.75,27817.12,40008.78,6215.91,-2.0610273345723287,-1.9275050175772965,-2.0454662934285865,-1.9514724991057693,1.0585540516456033,0.9377970568010315,1.403902353237593,-0.17046460798050667,0,1,0,0,0,0,0,0.0,-0.6888657266165424,1.256362505063789,-0.5527671461555186,-1.6404709257383723,-2.791873484187364,-2.7683910392673248,-2.773363983948439,-2.7643092267482317,-2.774930305207819,-2.745971336879086,-2.751987464184313,-2.747754424791668,-3.8522107232248373,-3.9420417070084843,-3.876927021216749,-3.767885551552931,-3.516867813949096,-3.548690935704411,-3.5280435979191362,-3.4092816005603668,-2.791873484187364,-2.7683910392673248,-1.4989752203590923,-1.8426961398914585,-2.6715389243263483,-2.6411877779170174,-2.4067181175042185,-1.2017289824774837,-1.5772263126475354,-1.1940648174282005,-2.2126056436837906,-0.9781181321143565,-2.736124031828962,-2.860219495080096,-2.7353608886317753,-2.8208031678774312,-2.7643092267482317,-2.7383438227700183,-2.7393984898527193,-2.8473280552890876,-2.6537865690936657,-1.3459077957016088,-3.6898724844329145,-3.6209986235408382
2020-02-17,1749785.11,0.9878322167606104,1.7497851100000001,1771338.3713461538,31612.48,22659.03,21104.96,13646.43,5806.5199999999995,14060.93,17085.61,12387.06,54271.509999999995,34751.39,43533.6,5806.5199999999995,-1.8491165990333802,-1.6340586296218906,-1.8826936778332333,-1.7640251113103524,1.1638749447610492,0.8033648691332378,1.3223126514448467,-0.5014870405393328,0,0,0,0,0,0,0,0.0,-0.6383720480881429,1.3136079109678034,-0.5358717698417275,-1.6238163985735157,-2.5525990805799994,-2.507816257126918,-2.5367067224759845,-2.5868005270691983,-2.541781360772589,-2.49356454819917,-2.5227189038526645,-2.5749899516058568,-3.3283331960536846,-3.35728601904376,-3.3527212248300358,-3.375137656743164,-3.038522824258338,-3.0230699787870727,-3.0463984591289894,-3.0635005792700922,-2.5525990805799994,-2.507816257126918,-1.3995916759933145,-1.7802417965861947,-2.3621674392589567,-2.3012426683876748,-2.249555676139946,-1.3513080612425286,-1.3101945657244995,-0.962050257682259,-1.9532851654596248,-1.126967673796362,-2.4677655359845927,-2.6594830960987696,-2.4839766790738413,-2.5438310918633626,-2.5868005270691983,-2.5442215458707267,-2.4820672036535534,-2.587050585764929,-2.187870111408278,-0.8859139281456148,-3.1244316996719204,-3.414167588073652
2020-02-24,1780119.84,1.0049575331263063,1.78011984,1771338.3713461538,24761.45,24940.37,21741.42,8370.62,5380.82,12175.19,16349.19,10730.72,49701.82,30112.04,39255.1,5380.82,-1.7869040518961854,-1.5651488895638395,-1.7505771003065491,-1.6492491580917412,1.2522239203637484,0.6572178126533428,1.1638749447610492,-0.8033648691332377,1,0,0,0,0,0,0,0.0,-0.43309400921100794,1.1387882170595272,-0.4749144429650972,-1.607161871408659,-2.358830992282741,-2.2836949651196474,-2.3375798064932987,-2.3282535083974567,-2.3523282217351196,-2.275463563876442,-2.3290036217548957,-2.322446462644943,-2.907624159940934,-2.8604166334191787,-2.9159572699331027,-2.818127641280855,-2.658116280551351,-2.5798024462757114,-2.648794924435676,-2.5682683598102765,-2.358830992282741,-2.2836949651196474,-1.4449016678473396,-1.767257189200515,-2.1308021245822903,-2.0278229703657336,-2.139478360272407,-1.5073786751705611,-1.383871918859139,-1.110300937870381,-1.7957710378186342,-1.2694373868585258,-2.289254954401282,-2.4457189401365174,-2.2460538200054283,-2.346091151725413,-2.3282535083974567,-2.3572541755799516,-2.2786663768953517,-2.379502170489445,-1.8964206426045858,-0.7334606180117303,-2.6113727832994735,-3.039484970444102
2020-03-02,1767092.71,0.9976031336446874,1.76709271,1771338.3713461538,24753.66,20506.99,15623.48,10189.39,5740.99,16371.96,12739.91,12853.39,45260.65,25812.87,41965.259999999995,5740.99,-1.629265709223485,-1.397128503502099,-1.6044737570093797,-1.5915071967202354,1.3223126514448469,0.5014870405393331,0.9377970568010312,-1.0585540516456036,1,0,0,0,0,0,0,0.0,-0.28302868423875666,1.1867831943748357,-0.6175203505299608,-1.5905073442438027,-2.1815643784477063,-2.0600269074416193,-2.1861118292438335,-2.1557582265264745,-2.1785181385300474,-2.0569084777098645,-2.1811730568594823,-2.1533762263376044,-2.5312335064732903,-2.3776070449227773,-2.5889521401780375,-2.4521535219876274,-2.315196291603742,-2.144933524128922,-2.3507266491775436,-2.243049808922359,-2.1815643784477063,-2.0600269074416193,-1.4057510979604897,-1.7259860912500011,-1.9288125411737078,-1.7627084787876393,-2.024565487571031,-1.4463372062637194,-1.55761753938024,-0.9895992798835661,-1.6679240096181671,-1.4182069286880103,-2.1181267213104236,-2.2605476835476184,-2.0309626409141037,-2.107036947828346,-2.1557582265264745,-2.1942327766120435,-2.1217911076819638,-2.250016563730485,-1.7457782983217265,-0.7962282530141233,-2.2352793099964687,-2.7455738220207278
2020-03-09,1760710.07,0.9939998469416792,1.76071007,1771338.3713461538,33435.99,23446.85,22296.03,14336.38,7771.58,12512.33,16136.65,14386.39,56882.84,36632.409999999996,43035.369999999995,7771.58,-1.5503955695974372,-1.3400169652689027,-1.5406032107214165,-1.5795023685165872,1.373119086479104,0.3384434581237911,0.6572178126533432,-1.252223920363748,0,0,0,0,0,0,1,0.0285714285714285,-0.06831257460864945,0.9473445645280717,-0.5155526608828502,-1.573852817078946,-2.077619750684976,-1.945804974075632,-2.050838959548166,-2.020800902342034,-2.0763872423239706,-1.9449620811421717,-2.0488070096304485,-2.0207836600065354,-2.2363730302268405,-2.049498632553155,-2.2172915833014244,-2.0831265759924342,-2.116261911453524,-1.9255718575057919,-2.0875480062015974,-1.99132704548861,-2.077619750684976,-1.945804974075632,-1.356396040715313,-1.5223654445578716,-1.8368421180819208,-1.6614710277692846,-1.916159004036838,-0.8954681150927899,-1.2185258583063183,-1.0572810255570428,-1.5265436731244941,-1.3463457563136385,-2.0389320838557956,-2.124265842514767,-1.9346126323815795,-1.9599738989647175,-2.020800902342034,-2.037401021156718,-2.047143492835084,-2.060494348919643,-1.380055136776771,-0.3942436446790142,-1.906298086270279,-2.494267344614286
